"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1155,"... <  100 DM","... >= 7 years",0.03,"male","married/widowed","guarantor",3,"real estate",40,"bank","own",2,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",30,"existing credits paid back duly till now","furniture/equipment",3108,"... <  100 DM","... < 1 year",0.02,"male","divorced/separated","none",4,"building society savings agreement/life insurance",31,"none","own",1,"unskilled - resident",1,"no","yes","no"
NA,10,"existing credits paid back duly till now","car (used)",2901,NA,"... < 1 year",0.01,"female","divorced/separated/married","none",4,"real estate",31,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"critical account","furniture/equipment",3617,"... <  100 DM","... >= 7 years",0.01,"male","single","none",4,"car or other",28,"none","rent",3,"skilled employee/official",1,"yes","yes","yes"
NA,12,"critical account","radio/television",1655,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,"real estate",63,"none","own",2,"unskilled - resident",1,"yes","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","car (used)",2812,NA,"... >= 7 years",0.02,"female","divorced/separated/married","none",4,"real estate",26,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",36,"critical account","education",8065,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,NA,25,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,21,"critical account","car (used)",3275,"... <  100 DM","... >= 7 years",0.01,"male","single","none",4,"car or other",36,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,24,"critical account","radio/television",2223,"100 <= ... <  500 DM","... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",52,"bank","own",2,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",12,"critical account","car (new)",1480,"500 <= ... < 1000 DM","unemployed",0.02,"male","single","none",4,NA,66,"bank","for free",3,"unemployed/unskilled - non-resident",1,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","car (new)",1371,NA,"1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"real estate",25,"none","rent",1,"skilled employee/official",1,"no","yes","no"
NA,36,"critical account","car (new)",3535,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",37,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","radio/television",3509,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","guarantor",1,"real estate",25,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,36,"critical account","car (used)",5711,"... >= 1000 DM","... >= 7 years",0.04,"male","single","none",2,"car or other",38,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","repairs",3872,"... <  100 DM","unemployed",0.02,"female","divorced/separated/married","none",4,"car or other",67,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",39,"critical account","radio/television",4933,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","guarantor",2,"real estate",25,"none","own",2,"skilled employee/official",1,"no","yes","no"
NA,24,"critical account","car (new)",1940,"... >= 1000 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",60,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"no credits taken","retraining",1410,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"real estate",31,"none","own",1,"unskilled - resident",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",836,"100 <= ... <  500 DM","... < 1 year",0.04,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"bank","own",1,"unskilled - resident",1,"no","yes","no"
"0 <= ... < 200 DM",20,"existing credits paid back duly till now","car (used)",6468,NA,"unemployed",0.01,"male","divorced/separated","none",4,"real estate",60,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","business",1941,"... >= 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",35,"none","own",1,"unskilled - resident",1,"yes","yes","yes"
NA,22,"existing credits paid back duly till now","radio/television",2675,"500 <= ... < 1000 DM","... >= 7 years",0.03,"male","single","none",4,"car or other",40,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,48,"critical account","car (used)",2751,NA,"... >= 7 years",0.04,"male","single","none",3,"car or other",38,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"0 <= ... < 200 DM",48,"delay in paying off in the past","education",6224,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,50,"none","for free",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",40,"critical account","education",5998,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",3,NA,27,"bank","own",1,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",21,"existing credits paid back duly till now","business",1188,"... <  100 DM","... >= 7 years",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",39,"none","own",1,"skilled employee/official",2,"no","yes","no"
NA,24,"existing credits paid back duly till now","car (used)",6313,NA,"... >= 7 years",0.03,"male","single","none",4,"car or other",41,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
NA,6,"critical account","furniture/equipment",1221,NA,"1  <= ... < 4 years",0.01,"male","married/widowed","none",2,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",24,"existing credits paid back duly till now","furniture/equipment",2892,"... <  100 DM","... >= 7 years",0.03,"male","divorced/separated","none",4,NA,51,"none","for free",1,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","furniture/equipment",3062,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",3,NA,32,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
NA,9,"existing credits paid back duly till now","furniture/equipment",2301,"100 <= ... <  500 DM","... < 1 year",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",22,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","car (used)",7511,NA,"... >= 7 years",0.01,"male","single","none",4,"building society savings agreement/life insurance",51,"none","for free",1,"skilled employee/official",2,"yes","yes","no"
NA,12,"critical account","furniture/equipment",1258,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",22,"none","rent",2,"unskilled - resident",1,"no","yes","yes"
NA,24,"delay in paying off in the past","car (new)",717,NA,"... >= 7 years",0.04,"male","married/widowed","none",4,"car or other",54,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",1549,NA,"... < 1 year",0.04,"male","single","none",2,"real estate",35,"none","own",1,"unemployed/unskilled - non-resident",1,"no","yes","yes"
NA,24,"critical account","education",1597,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,54,"none","for free",2,"skilled employee/official",2,"no","yes","yes"
"0 <= ... < 200 DM",18,"critical account","radio/television",1795,"... <  100 DM","... >= 7 years",0.03,"female","divorced/separated/married","guarantor",4,"real estate",48,"bank","rent",2,"unskilled - resident",1,"yes","yes","yes"
"... < 0 DM",20,"critical account","furniture/equipment",4272,"... <  100 DM","... >= 7 years",0.01,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,12,"critical account","radio/television",976,NA,"... >= 7 years",0.04,"male","single","none",4,"car or other",35,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",7472,NA,"unemployed",0.01,"female","divorced/separated/married","none",2,"real estate",24,"none","rent",1,"unemployed/unskilled - non-resident",1,"no","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","car (new)",9271,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",590,"... <  100 DM","... < 1 year",0.03,"male","married/widowed","none",3,"real estate",26,"none","own",1,"unskilled - resident",1,"no","no","yes"
NA,12,"critical account","radio/television",930,NA,"... >= 7 years",0.04,"male","single","none",4,"real estate",65,"none","own",4,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",42,"all credits at this bank paid back duly","car (used)",9283,"... <  100 DM","unemployed",0.01,"male","single","none",2,NA,55,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",15,"no credits taken","car (new)",1778,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",1,"real estate",26,"none","rent",2,"unemployed/unskilled - non-resident",1,"no","yes","no"
"0 <= ... < 200 DM",8,"existing credits paid back duly till now","business",907,"... <  100 DM","... < 1 year",0.03,"male","married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",484,"... <  100 DM","4  <= ... < 7 years",0.03,"male","married/widowed","guarantor",3,"real estate",28,"bank","own",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",36,"critical account","car (used)",9629,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",24,"none","own",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",48,"existing credits paid back duly till now","domestic appliances",3051,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",4,"car or other",54,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",48,"existing credits paid back duly till now","car (new)",3931,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,NA,46,"none","for free",1,"skilled employee/official",2,"no","yes","no"
"0 <= ... < 200 DM",36,"delay in paying off in the past","car (new)",7432,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",54,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
NA,6,"existing credits paid back duly till now","domestic appliances",1338,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.01,"male","divorced/separated","none",4,"real estate",62,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,6,"critical account","radio/television",1554,"... <  100 DM","4  <= ... < 7 years",0.01,"female","divorced/separated/married","none",2,"car or other",24,"none","rent",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","others",15857,"... <  100 DM","unemployed",0.02,"male","divorced/separated","co-applicant",3,"car or other",43,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","radio/television",1345,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",3,"real estate",26,"bank","own",1,"skilled employee/official",1,"no","yes","no"
NA,12,"existing credits paid back duly till now","car (new)",1101,"... <  100 DM","1  <= ... < 4 years",0.03,"male","married/widowed","none",2,"real estate",27,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... >= 200 DM",12,"existing credits paid back duly till now","radio/television",3016,"... <  100 DM","1  <= ... < 4 years",0.03,"male","married/widowed","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",2712,"... <  100 DM","... >= 7 years",0.02,"male","single","none",2,"building society savings agreement/life insurance",41,"bank","own",1,"skilled employee/official",2,"no","yes","no"
"... < 0 DM",8,"critical account","car (new)",731,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",47,"none","own",2,"unskilled - resident",1,"no","yes","yes"
NA,18,"critical account","furniture/equipment",3780,"... <  100 DM","... < 1 year",0.03,"male","divorced/separated","none",2,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",21,"critical account","car (new)",1602,"... <  100 DM","... >= 7 years",0.04,"male","married/widowed","none",3,"car or other",30,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",18,"critical account","car (new)",3966,"... <  100 DM","... >= 7 years",0.01,"female","divorced/separated/married","none",4,"real estate",33,"bank","rent",3,"skilled employee/official",1,"yes","yes","no"
NA,18,"no credits taken","business",4165,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",36,"stores","own",2,"skilled employee/official",2,"no","yes","no"
"... < 0 DM",36,"existing credits paid back duly till now","car (used)",8335,NA,"... >= 7 years",0.03,"male","single","none",4,NA,47,"none","for free",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",48,"delay in paying off in the past","business",6681,NA,"1  <= ... < 4 years",0.04,"male","single","none",4,NA,38,"none","for free",1,"skilled employee/official",2,"yes","yes","yes"
NA,24,"delay in paying off in the past","business",2375,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",44,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","car (new)",1216,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",3,"car or other",23,"none","rent",1,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",45,"no credits taken","business",11816,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,"car or other",29,"none","rent",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",5084,NA,"... >= 7 years",0.02,"female","divorced/separated/married","none",4,"car or other",42,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... >= 200 DM",15,"existing credits paid back duly till now","radio/television",2327,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",3,"real estate",25,"none","own",1,"unskilled - resident",1,"no","yes","no"
"... < 0 DM",12,"no credits taken","car (new)",1082,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"car or other",48,"bank","own",2,"skilled employee/official",1,"no","yes","no"
NA,12,"existing credits paid back duly till now","radio/television",886,NA,"1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"car or other",21,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,4,"existing credits paid back duly till now","furniture/equipment",601,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",3,"real estate",23,"none","rent",1,"unskilled - resident",2,"no","yes","yes"
"... < 0 DM",24,"critical account","car (used)",2957,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",63,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,24,"critical account","radio/television",2611,"... <  100 DM","... >= 7 years",0.04,"male","married/widowed","co-applicant",3,"real estate",46,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",5179,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",29,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,21,"delay in paying off in the past","car (used)",2993,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"real estate",28,"stores","own",2,"unskilled - resident",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","repairs",1943,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"real estate",23,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,24,"all credits at this bank paid back duly","business",1559,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",50,"bank","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,18,"existing credits paid back duly till now","furniture/equipment",3422,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",47,"bank","own",3,"skilled employee/official",2,"yes","yes","yes"
"0 <= ... < 200 DM",21,"existing credits paid back duly till now","furniture/equipment",3976,NA,"4  <= ... < 7 years",0.02,"male","single","none",3,"car or other",35,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,18,"existing credits paid back duly till now","car (new)",6761,NA,"1  <= ... < 4 years",0.02,"male","single","none",4,"car or other",68,"none","rent",2,"skilled employee/official",1,"no","yes","no"
NA,24,"existing credits paid back duly till now","car (new)",1249,"... <  100 DM","... < 1 year",0.04,"male","married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",9,"existing credits paid back duly till now","radio/television",1364,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",4,"real estate",59,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","radio/television",709,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",57,"stores","own",1,"unskilled - resident",1,"no","yes","no"
"... < 0 DM",20,"critical account","car (new)",2235,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","guarantor",2,"building society savings agreement/life insurance",33,"bank","rent",2,"skilled employee/official",1,"no","no","no"
NA,24,"critical account","car (used)",4042,NA,"4  <= ... < 7 years",0.03,"male","single","none",4,"building society savings agreement/life insurance",43,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,15,"critical account","radio/television",1471,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,NA,35,"none","for free",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",18,"all credits at this bank paid back duly","car (new)",1442,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,NA,32,"none","for free",2,"unskilled - resident",2,"no","yes","no"
NA,36,"delay in paying off in the past","car (new)",10875,"... <  100 DM","... >= 7 years",0.02,"male","single","none",2,"car or other",45,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","car (new)",1474,"100 <= ... <  500 DM","... < 1 year",0.04,"male","married/widowed","none",3,"real estate",33,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,10,"existing credits paid back duly till now","retraining",894,NA,"4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",3,"building society savings agreement/life insurance",40,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,15,"critical account","furniture/equipment",3343,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,NA,28,"none","for free",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",15,"existing credits paid back duly till now","car (new)",3959,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",29,"none","own",1,"skilled employee/official",1,"yes","yes","no"
NA,9,"existing credits paid back duly till now","car (new)",3577,"100 <= ... <  500 DM","1  <= ... < 4 years",0.01,"male","single","guarantor",2,"real estate",26,"none","rent",1,"skilled employee/official",2,"no","no","yes"
NA,24,"critical account","car (used)",5804,"... >= 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"real estate",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,18,"delay in paying off in the past","business",2169,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","radio/television",2439,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"real estate",35,"none","own",1,"skilled employee/official",1,"yes","yes","no"
NA,27,"critical account","furniture/equipment",4526,"... >= 1000 DM","... < 1 year",0.04,"male","single","none",2,"real estate",32,"stores","own",2,"unskilled - resident",2,"yes","yes","yes"
NA,10,"existing credits paid back duly till now","furniture/equipment",2210,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"real estate",25,"bank","rent",1,"unskilled - resident",1,"no","yes","no"
NA,15,"existing credits paid back duly till now","furniture/equipment",2221,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","radio/television",2389,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,"car or other",27,"stores","own",1,"skilled employee/official",1,"no","yes","yes"
NA,12,"critical account","furniture/equipment",3331,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,"building society savings agreement/life insurance",42,"stores","own",1,"skilled employee/official",1,"no","yes","yes"
NA,36,"existing credits paid back duly till now","business",7409,NA,"... >= 7 years",0.03,"male","single","none",2,"building society savings agreement/life insurance",37,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",652,"... <  100 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
NA,36,"delay in paying off in the past","furniture/equipment",7678,"500 <= ... < 1000 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","none",4,"car or other",40,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... >= 200 DM",6,"critical account","car (new)",1343,"... <  100 DM","... >= 7 years",0.01,"male","single","none",4,"real estate",46,"none","own",2,"skilled employee/official",2,"no","no","yes"
"... < 0 DM",24,"critical account","business",1382,"100 <= ... <  500 DM","4  <= ... < 7 years",0.04,"male","single","none",1,"real estate",26,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,15,"existing credits paid back duly till now","domestic appliances",874,NA,"... < 1 year",0.04,"female","divorced/separated/married","none",1,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",3590,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","co-applicant",2,"building society savings agreement/life insurance",29,"none","own",1,"unskilled - resident",2,"no","yes","yes"
"0 <= ... < 200 DM",11,"critical account","car (new)",1322,"... >= 1000 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"car or other",40,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"all credits at this bank paid back duly","radio/television",1940,"... <  100 DM","... < 1 year",0.03,"male","single","co-applicant",4,NA,36,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,36,"existing credits paid back duly till now","radio/television",3595,"... <  100 DM","... >= 7 years",0.04,"male","single","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",9,"existing credits paid back duly till now","car (new)",1422,"... <  100 DM","... < 1 year",0.03,"male","single","none",2,NA,27,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,30,"critical account","radio/television",6742,NA,"4  <= ... < 7 years",0.02,"male","single","none",3,"building society savings agreement/life insurance",36,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","car (used)",7814,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",3,"car or other",38,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","car (used)",9277,NA,"1  <= ... < 4 years",0.02,"male","divorced/separated","none",4,NA,48,"none","for free",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",30,"critical account","car (new)",2181,NA,"... >= 7 years",0.04,"male","single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,18,"critical account","radio/television",1098,"... <  100 DM","unemployed",0.04,"female","divorced/separated/married","none",4,"car or other",65,"none","own",2,"unemployed/unskilled - non-resident",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",4057,"... <  100 DM","4  <= ... < 7 years",0.03,"male","divorced/separated","none",3,"car or other",43,"none","own",1,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","education",795,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",53,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",24,"critical account","business",2825,NA,"4  <= ... < 7 years",0.04,"male","single","none",3,NA,34,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","business",15672,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",23,"none","own",1,"skilled employee/official",1,"yes","yes","no"
NA,36,"critical account","car (new)",6614,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",34,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,28,"all credits at this bank paid back duly","car (used)",7824,NA,"... < 1 year",0.03,"male","single","guarantor",4,"real estate",40,"bank","rent",2,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",27,"critical account","business",2442,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",43,"stores","own",4,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
NA,15,"critical account","radio/television",1829,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",46,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",12,"critical account","car (new)",2171,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",38,"bank","own",2,"unskilled - resident",1,"no","no","yes"
"0 <= ... < 200 DM",36,"critical account","car (used)",5800,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",4,"car or other",34,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,18,"critical account","radio/television",1169,NA,"1  <= ... < 4 years",0.04,"male","single","none",3,"building society savings agreement/life insurance",29,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,36,"delay in paying off in the past","car (used)",8947,NA,"4  <= ... < 7 years",0.03,"male","single","none",2,"car or other",31,"stores","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
"... < 0 DM",21,"existing credits paid back duly till now","radio/television",2606,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",28,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,12,"critical account","furniture/equipment",1592,"... >= 1000 DM","4  <= ... < 7 years",0.03,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",35,"none","own",1,"skilled employee/official",1,"no","no","yes"
NA,15,"existing credits paid back duly till now","furniture/equipment",2186,NA,"4  <= ... < 7 years",0.01,"female","divorced/separated/married","none",4,"real estate",33,"bank","rent",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",4153,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","co-applicant",3,"car or other",42,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",16,"critical account","car (new)",2625,"... <  100 DM","... >= 7 years",0.02,"male","single","guarantor",4,"building society savings agreement/life insurance",43,"bank","rent",1,"skilled employee/official",1,"yes","yes","no"
NA,20,"critical account","car (new)",3485,NA,"... < 1 year",0.02,"male","divorced/separated","none",4,"real estate",44,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,36,"critical account","car (used)",10477,NA,"... >= 7 years",0.02,"male","single","none",4,NA,42,"none","for free",2,"skilled employee/official",1,"no","yes","yes"
